respondent_id,age,gender,income,region,value_orientation,moral_self_score,q1,q2,q3,q4,q5
1,29,男,中等收入,农村,个人主义,6,3,3,4,3,5
2,36,男,低收入,城市,个人主义,6,3,2,2,5,4
3,57,男,中等收入,农村,个人主义,1,1,1,2,3,4
4,28,男,高收入,城市,集体主义,3,5,5,5,3,4
5,49,男,高收入,城市,个人主义,10,3,3,1,3,3
6,43,女,低收入,城市,个人主义,8,1,5,5,3,5
7,56,女,高收入,城市,个人主义,8,3,1,5,5,1
8,47,女,中等收入,农村,集体主义,8,4,2,1,5,2
9,58,男,高收入,农村,个人主义,1,2,4,1,3,5
10,31,男,高收入,农村,混合,10,4,5,1,5,5
11,55,男,低收入,农村,集体主义,10,3,1,5,5,3
12,46,男,低收入,城市,集体主义,4,5,2,5,4,3
13,55,女,中等收入,城市,混合,9,3,4,3,2,1
14,23,女,高收入,农村,个人主义,9,3,1,2,2,1
15,57,男,低收入,城市,混合,2,3,2,1,4,5
16,41,男,低收入,农村,集体主义,4,3,3,2,3,1
17,39,男,低收入,农村,集体主义,2,4,4,5,1,4
18,45,女,中等收入,城市,个人主义,4,2,4,3,2,5
19,39,男,低收入,城市,个人主义,6,2,2,1,2,1
20,18,女,高收入,农村,集体主义,7,5,3,5,3,4
21,55,女,高收入,农村,个人主义,6,2,1,5,4,1
22,36,女,高收入,农村,混合,5,5,3,3,1,5
23,65,女,低收入,农村,个人主义,9,3,4,3,4,1
24,32,男,高收入,农村,混合,1,2,3,2,4,2
25,64,男,低收入,城市,混合,8,5,3,2,4,1
26,18,男,低收入,农村,混合,8,3,4,3,4,1
27,64,男,低收入,城市,混合,3,2,3,4,4,1
28,64,女,高收入,农村,个人主义,7,3,3,1,4,1
29,42,女,高收入,农村,集体主义,6,5,1,3,3,2
30,40,男,低收入,农村,个人主义,2,1,4,3,4,3
31,67,男,低收入,城市,混合,5,2,4,2,2,1
32,47,男,低收入,城市,混合,6,1,5,2,2,1
33,58,男,中等收入,农村,混合,4,5,1,1,5,1
34,33,男,高收入,农村,集体主义,2,4,2,4,5,4
35,18,女,低收入,农村,集体主义,9,5,5,2,5,5
36,33,女,高收入,城市,个人主义,6,1,2,2,5,1
37,44,女,高收入,农村,个人主义,10,1,2,4,3,1
38,42,女,中等收入,农村,个人主义,6,1,3,5,3,3
39,30,女,低收入,城市,混合,8,4,5,3,4,5
40,19,女,高收入,农村,集体主义,1,5,3,5,1,1
41,24,男,中等收入,农村,个人主义,5,2,2,3,4,3
42,21,女,高收入,农村,混合,2,2,3,2,2,5
43,20,男,高收入,农村,混合,3,4,4,2,3,5
44,24,男,中等收入,城市,混合,10,4,2,2,1,5
45,23,女,低收入,农村,个人主义,2,3,2,5,1,2
46,45,男,中等收入,农村,混合,3,4,2,3,1,1
47,65,女,高收入,农村,集体主义,2,4,4,2,2,3
48,31,男,高收入,城市,混合,8,4,1,1,5,5
49,28,女,低收入,农村,混合,8,2,2,4,5,2
50,53,女,高收入,城市,个人主义,2,1,1,4,5,4
51,61,女,低收入,城市,个人主义,2,1,2,3,5,4
52,41,男,高收入,城市,个人主义,8,3,1,3,5,1
53,36,女,低收入,城市,个人主义,10,3,5,2,1,2
54,33,男,中等收入,农村,集体主义,1,4,3,2,3,2
55,49,女,中等收入,城市,集体主义,2,5,5,1,1,5
56,40,女,低收入,农村,混合,5,4,1,5,4,2
57,18,女,低收入,农村,个人主义,9,1,1,1,2,5
58,37,男,高收入,农村,集体主义,2,5,3,3,5,2
59,35,男,低收入,城市,个人主义,5,3,4,1,5,4
60,41,女,高收入,城市,集体主义,4,3,1,2,2,3
61,42,女,低收入,农村,混合,10,1,1,1,1,1
62,67,男,高收入,农村,个人主义,6,3,1,4,2,4
63,51,男,中等收入,农村,混合,8,3,1,1,3,5
64,47,男,高收入,农村,集体主义,6,3,4,2,2,5
65,59,男,高收入,农村,集体主义,8,3,5,4,3,1
66,55,男,中等收入,城市,混合,1,2,5,3,1,5
67,32,男,中等收入,城市,混合,8,5,1,2,3,5
68,68,女,中等收入,城市,混合,4,2,4,3,4,1
69,28,女,高收入,城市,集体主义,2,3,1,4,2,4
70,20,男,中等收入,农村,集体主义,5,4,3,1,2,2
71,36,女,中等收入,农村,个人主义,6,2,2,4,1,3
72,30,女,高收入,农村,集体主义,1,3,4,2,4,4
73,48,男,低收入,农村,混合,10,3,2,4,3,5
74,23,女,高收入,农村,集体主义,8,4,2,2,1,5
75,26,女,中等收入,农村,集体主义,10,5,2,2,4,5
76,47,男,高收入,城市,个人主义,7,3,4,1,3,3
77,67,女,高收入,城市,集体主义,7,3,1,1,4,1
78,55,女,低收入,城市,混合,4,3,4,5,5,2
79,44,女,中等收入,城市,混合,6,4,4,1,5,5
80,21,男,中等收入,城市,集体主义,1,5,3,2,4,3
81,26,男,高收入,城市,个人主义,9,2,4,2,4,5
82,60,男,中等收入,农村,集体主义,2,5,1,5,3,4
83,68,男,高收入,城市,集体主义,7,4,1,2,1,1
84,23,女,高收入,城市,混合,2,3,3,4,2,4
85,50,女,低收入,农村,个人主义,3,1,2,5,5,4
86,48,男,高收入,城市,集体主义,5,3,4,4,4,3
87,43,男,中等收入,城市,个人主义,4,2,5,1,3,2
88,66,男,中等收入,城市,个人主义,9,3,5,5,5,4
89,42,女,高收入,农村,集体主义,3,4,5,4,4,4
90,22,男,高收入,城市,集体主义,10,5,4,2,2,4
91,26,男,高收入,农村,混合,9,3,4,3,2,4
92,57,男,低收入,农村,混合,9,3,3,1,4,3
93,51,男,低收入,农村,混合,9,1,4,2,4,2
94,21,女,中等收入,城市,个人主义,1,3,5,1,3,5
95,35,男,中等收入,城市,混合,9,2,5,2,2,5
96,44,女,中等收入,城市,混合,7,5,4,4,1,2
97,34,男,高收入,城市,集体主义,6,3,2,1,5,5
98,18,男,低收入,城市,集体主义,3,5,1,3,4,4
99,24,女,中等收入,城市,集体主义,5,3,3,4,2,1
100,56,女,中等收入,农村,混合,8,2,2,2,3,1
101,39,男,高收入,城市,混合,7,1,3,5,3,4
102,55,男,高收入,城市,个人主义,2,1,4,1,1,4
103,50,女,中等收入,城市,混合,7,3,1,2,2,4
104,40,男,中等收入,农村,混合,8,3,2,3,3,5
105,67,男,中等收入,农村,混合,9,2,3,3,4,4
106,27,男,高收入,城市,个人主义,10,1,3,3,2,3
107,57,女,低收入,城市,混合,3,5,4,5,4,2
108,26,男,低收入,城市,混合,1,2,2,2,5,3
109,45,男,高收入,农村,个人主义,3,1,5,4,2,3
110,34,女,低收入,农村,集体主义,1,5,1,4,4,3
111,65,女,高收入,城市,个人主义,6,3,3,5,5,1
112,69,女,中等收入,农村,个人主义,8,3,5,5,3,1
113,58,女,中等收入,城市,集体主义,4,4,3,3,2,4
114,67,女,低收入,农村,个人主义,5,2,2,4,4,3
115,22,女,低收入,城市,集体主义,3,3,2,2,2,4
116,58,女,低收入,城市,个人主义,6,3,4,4,2,5
117,62,女,低收入,城市,集体主义,4,4,5,1,1,5
118,55,男,高收入,农村,混合,4,5,4,2,3,1
119,55,男,中等收入,农村,个人主义,2,2,2,5,2,4
120,29,女,中等收入,农村,个人主义,4,3,4,1,5,1
121,47,男,高收入,城市,个人主义,10,3,5,1,1,3
122,43,女,中等收入,农村,集体主义,5,4,3,2,5,2
123,32,女,中等收入,城市,混合,2,2,5,2,3,3
124,33,女,高收入,城市,个人主义,7,3,4,1,3,3
125,47,女,高收入,农村,集体主义,3,4,2,5,3,4
126,42,女,中等收入,农村,个人主义,10,2,1,3,4,5
127,23,女,低收入,农村,集体主义,8,3,3,3,5,3
128,26,男,低收入,城市,集体主义,8,5,2,4,2,3
129,42,女,高收入,城市,集体主义,2,4,5,1,1,5
130,31,男,高收入,农村,混合,3,4,1,1,3,5
131,20,女,中等收入,城市,集体主义,1,3,1,3,5,2
132,46,女,中等收入,农村,个人主义,6,1,4,1,1,1
133,36,男,低收入,农村,混合,9,2,5,4,4,1
134,41,男,高收入,城市,混合,9,2,3,3,5,4
135,55,女,中等收入,农村,混合,4,3,1,3,2,5
136,59,女,低收入,城市,个人主义,7,2,2,5,5,1
137,66,男,低收入,城市,个人主义,3,1,2,5,3,3
138,40,男,高收入,农村,集体主义,6,4,3,5,5,5
139,63,女,高收入,农村,集体主义,2,5,2,2,1,5
140,24,女,高收入,农村,个人主义,9,3,3,2,1,5
141,28,男,中等收入,城市,集体主义,2,4,1,2,3,1
142,42,女,低收入,农村,个人主义,2,1,3,5,3,3
143,22,女,低收入,城市,个人主义,5,1,3,3,4,3
144,32,女,中等收入,农村,个人主义,1,3,3,4,5,5
145,28,男,低收入,农村,集体主义,1,5,5,4,5,3
146,30,男,中等收入,城市,混合,8,4,4,3,2,2
147,44,女,高收入,城市,混合,7,1,5,3,1,1
148,35,男,高收入,城市,集体主义,10,3,3,2,5,4
149,22,男,低收入,城市,混合,9,5,3,2,2,1
150,58,女,低收入,农村,个人主义,2,1,1,1,4,5
151,38,男,高收入,城市,个人主义,2,2,4,1,2,4
152,43,男,高收入,城市,集体主义,3,3,1,4,5,5
153,61,男,低收入,农村,混合,4,1,5,4,5,3
154,48,男,低收入,城市,个人主义,5,2,2,4,1,5
155,54,男,中等收入,农村,集体主义,6,3,1,3,1,1
156,58,男,低收入,城市,个人主义,2,1,4,2,1,4
157,34,男,高收入,城市,个人主义,2,1,3,4,2,2
158,60,女,高收入,农村,混合,7,1,5,4,2,4
159,60,男,低收入,农村,个人主义,5,1,4,1,2,1
160,56,男,高收入,城市,个人主义,7,1,5,2,5,5
161,20,女,高收入,农村,个人主义,7,2,3,4,4,3
162,64,男,中等收入,城市,集体主义,6,3,3,4,5,5
163,48,女,中等收入,农村,个人主义,7,1,1,1,5,4
164,47,女,低收入,城市,混合,2,2,3,3,2,2
165,49,女,低收入,城市,混合,4,1,1,1,3,5
166,45,男,低收入,城市,集体主义,10,3,2,3,1,5
167,23,男,低收入,农村,混合,3,2,4,5,1,5
168,50,男,高收入,农村,集体主义,6,5,1,5,4,1
169,51,女,低收入,城市,个人主义,10,3,3,5,4,1
170,18,女,中等收入,农村,混合,1,3,1,3,4,3
171,28,男,高收入,农村,混合,6,2,3,3,2,5
172,32,女,低收入,农村,混合,2,3,3,2,5,2
173,43,女,低收入,城市,集体主义,3,4,2,5,2,3
174,47,男,低收入,城市,集体主义,1,5,5,2,5,5
175,36,女,高收入,农村,混合,10,2,3,5,2,4
176,47,女,低收入,农村,集体主义,9,4,4,4,2,1
177,52,男,高收入,城市,集体主义,6,5,4,5,1,5
178,34,男,低收入,农村,个人主义,6,1,5,1,1,3
179,48,女,低收入,城市,个人主义,1,1,5,1,3,4
180,41,男,低收入,城市,混合,3,1,3,2,2,3
181,45,女,低收入,农村,混合,7,4,3,1,2,2
182,22,男,低收入,城市,个人主义,8,3,5,4,2,3
183,53,男,低收入,农村,个人主义,1,3,2,1,2,1
184,20,男,中等收入,城市,集体主义,5,5,5,2,1,4
185,36,女,高收入,城市,集体主义,5,3,5,2,5,1
186,23,女,高收入,农村,个人主义,1,3,3,5,2,2
187,48,男,低收入,农村,个人主义,7,2,2,5,4,3
188,18,女,低收入,农村,混合,4,4,5,1,1,3
189,47,男,中等收入,城市,混合,4,1,2,4,1,5
190,20,女,中等收入,城市,混合,3,5,2,1,3,1
191,29,女,高收入,城市,个人主义,7,3,3,4,1,4
192,58,男,高收入,农村,混合,2,4,2,4,1,5
193,32,女,中等收入,农村,集体主义,3,4,2,5,1,2
194,26,男,低收入,农村,集体主义,2,5,5,1,4,3
195,68,男,低收入,城市,混合,1,4,3,4,1,4
196,30,男,中等收入,城市,混合,7,1,3,3,4,5
197,62,女,中等收入,农村,集体主义,7,5,4,2,1,1
198,46,女,低收入,城市,个人主义,10,1,3,5,1,4
199,47,男,高收入,农村,混合,7,1,1,5,4,2
200,32,男,中等收入,城市,个人主义,2,3,3,4,5,2
