participant_id,age,gender,education,scenario,scenario_type,decision,reaction_time,emotional_response,关爱/伤害,公平/欺骗,忠诚/背叛,权威/颠覆,圣洁/堕落
1,61,女,本科,1,个人道德困境,1,16.66,2,6,2,3,5,4
1,61,女,本科,2,职业伦理,3,7.17,5,6,2,3,5,4
1,61,女,本科,3,个人道德困境,6,29.01,4,6,2,3,5,4
1,61,女,本科,4,职业伦理,2,27.34,4,6,2,3,5,4
1,61,女,本科,5,数字伦理,3,29.42,4,6,2,3,5,4
2,44,女,硕士及以上,1,数字伦理,2,18.52,1,7,6,1,6,2
2,44,女,硕士及以上,2,数字伦理,6,7.28,4,7,6,1,6,2
2,44,女,硕士及以上,3,数字伦理,7,22.35,2,7,6,1,6,2
2,44,女,硕士及以上,4,社会道德困境,7,8.8,3,7,6,1,6,2
2,44,女,硕士及以上,5,环境伦理,7,16.6,4,7,6,1,6,2
3,37,男,硕士及以上,1,数字伦理,6,25.28,2,2,7,6,5,4
3,37,男,硕士及以上,2,社会道德困境,1,26.61,1,2,7,6,5,4
3,37,男,硕士及以上,3,环境伦理,4,1.9,2,2,7,6,5,4
3,37,男,硕士及以上,4,数字伦理,1,19.46,1,2,7,6,5,4
3,37,男,硕士及以上,5,个人道德困境,2,21.3,1,2,7,6,5,4
4,57,女,硕士及以上,1,环境伦理,5,24.16,5,4,7,2,3,1
4,57,女,硕士及以上,2,职业伦理,6,12.58,5,4,7,2,3,1
4,57,女,硕士及以上,3,环境伦理,2,27.09,5,4,7,2,3,1
4,57,女,硕士及以上,4,个人道德困境,7,1.45,1,4,7,2,3,1
4,57,女,硕士及以上,5,数字伦理,5,19.42,2,4,7,2,3,1
5,49,男,本科,1,个人道德困境,4,15.79,3,5,2,3,6,2
5,49,男,本科,2,数字伦理,7,10.73,3,5,2,3,6,2
5,49,男,本科,3,数字伦理,6,11.13,4,5,2,3,6,2
5,49,男,本科,4,数字伦理,1,10.82,5,5,2,3,6,2
5,49,男,本科,5,个人道德困境,2,3.02,2,5,2,3,6,2
6,54,女,高中及以下,1,职业伦理,1,15.1,1,2,1,2,5,5
6,54,女,高中及以下,2,环境伦理,2,4.94,1,2,1,2,5,5
6,54,女,高中及以下,3,环境伦理,3,19.06,1,2,1,2,5,5
6,54,女,高中及以下,4,社会道德困境,2,22.41,5,2,1,2,5,5
6,54,女,高中及以下,5,职业伦理,5,20.98,3,2,1,2,5,5
7,28,女,硕士及以上,1,数字伦理,5,5.26,5,6,3,2,4,1
7,28,女,硕士及以上,2,职业伦理,3,15.11,2,6,3,2,4,1
7,28,女,硕士及以上,3,环境伦理,5,3.16,5,6,3,2,4,1
7,28,女,硕士及以上,4,环境伦理,1,4.01,2,6,3,2,4,1
7,28,女,硕士及以上,5,环境伦理,2,19.67,3,6,3,2,4,1
8,19,女,硕士及以上,1,数字伦理,1,27.76,5,2,3,2,6,2
