h0,h1,h2,iteration
1,562,0,0
1,562,0,1
1,562,0,2
1,562,0,3
1,562,0,4
1,562,0,5
1,562,0,6
1,562,0,7
1,562,0,8
1,562,0,9
1,562,0,10
1,562,0,11
1,562,0,12
1,562,0,13
1,562,0,14
1,562,0,15
1,562,0,16
1,562,0,17
1,562,0,18
1,562,0,19
1,562,0,20
1,562,0,21
1,562,0,22
1,562,0,23
1,562,0,24
1,562,0,25
1,562,0,26
1,562,0,27
1,562,0,28
1,562,0,29
1,562,0,30
1,562,0,31
1,562,0,32
1,562,0,33
1,562,0,34
1,562,0,35
1,562,0,36
1,562,0,37
1,562,0,38
1,562,0,39
1,562,0,40
1,562,0,41
1,562,0,42
1,562,0,43
1,562,0,44
1,562,0,45
1,562,0,46
1,562,0,47
1,562,0,48
1,562,0,49
1,562,0,50
